,Investors,Company Name,Company URL,Role,Sweet Spot,Range,Location,Categories
77,Mikkel Hesselgren,Vækstfonden,https://signal.nfx.com/firms/vaekstfonden,Vice President,$1.5M,($100K - $5.0M),Investors in Copenhagen (Denmark),"Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in Local Services (Seed), Investors in Human Capital/HRTech (Series A), Investors in LegalTech (Series A), Investors in Local Services (Series A), Investors in Human Capital/HRTech (Series B), Investors in LegalTech (Series B), Investors in Local Services (Series B)"
78,Sophia Sun Zou,Breyer Capital,https://signal.nfx.com/firms/breyer-capital,Partner,$1.5M,($100K - $5.0M),Investors in SF Bay Area (CA),"Investors in Consumer Health (Seed), Investors in Digital Health (Seed), Investors in EnergyTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Consumer Health (Series A), Investors in Digital Health (Series A), Investors in EnergyTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
79,Jan-Dirk Lueders,CMT Digital,https://signal.nfx.com/firms/cmt-digital,Partner,$1.5M,($100K - $5.0M),Investors in Illinois,"Investors in LegalTech (Seed), Investors in Web3/Crypto (Seed), Investors in LegalTech (Series A), Investors in Web3/Crypto (Series A)"
80,Scott Casto,CMT Digital,https://signal.nfx.com/firms/cmt-digital,Partner,$1.5M,($100K - $5.0M),Investors in Chicago (IL),"Investors in LegalTech (Seed), Investors in Web3/Crypto (Seed), Investors in LegalTech (Series A), Investors in Web3/Crypto (Series A), Investors in Midwest (Other Lists), Investors in Midwest (Other Lists)"
81,Bennett Rogers,Pioneer Fund,https://signal.nfx.com/firms/pioneer-fund,Venture Partner,$250K,($200K - $300K),Investors in Boston (MA),"Investors in LegalTech (Seed), Investors in LegalTech (Series A), Investors in Boston / New England (Other Lists), Investors in Boston / New England (Other Lists)"
82,Calvin Ling,Prefix Capital,https://signal.nfx.com/firms/prefix-capital,Principal,$1.5M,($100K - $5.0M),Investors in San Francisco (CA),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
83,Douglas Sylvester,Xcellerant Ventures,https://signal.nfx.com/firms/xcellerant-ventures,Partner,$1.5M,($100K - $5.0M),Investors in Phoenix (AZ),"Investors in Digital Health (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Digital Health (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Digital Health (Series B), Investors in Health & Hospital Services (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in Los Angeles / Southern California (Other Lists), Investors in Los Angeles / Southern California (Other Lists)"
84,Moritz Schollaehn,Earlybird Venture Capital,https://signal.nfx.com/firms/earlybird-venture-capital,Principal,$1.5M,($100K - $5.0M),Investors in Berlin (Germany),"Investors in AI (Seed), Investors in Data Services (Seed), Investors in Developer Tools (Seed), Investors in E-commerce (Seed), Investors in EnergyTech (Seed), Investors in FinTech (Seed), Investors in IoT (Seed), Investors in LegalTech (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in AI (Series A), Investors in Data Services (Series A), Investors in Developer Tools (Series A), Investors in E-commerce (Series A), Investors in EnergyTech (Series A), Investors in FinTech (Series A), Investors in IoT (Series A), Investors in LegalTech (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in AI (Series B), Investors in Data Services (Series B), Investors in Developer Tools (Series B), Investors in E-commerce (Series B), Investors in EnergyTech (Series B), Investors in FinTech (Series B), Investors in IoT (Series B), Investors in LegalTech (Series B), Investors in Web3/Blockchain (Series B), Investors in Web3/Crypto (Series B)"
85,Sung Lim,Grão Venture Capital,https://signal.nfx.com/firms/grao-venture-capital,Partner,$150K,($50K - $500K),Investors in Sao Paulo (Brazil),"Investors in AgTech (Pre-seed), Investors in AI (Pre-seed), Investors in Digital Health (Pre-seed), Investors in FinTech (Pre-seed), Investors in Health & Hospital Services (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Marketplaces (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in AgTech (Seed), Investors in AI (Seed), Investors in Digital Health (Seed), Investors in FinTech (Seed), Investors in Health & Hospital Services (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in Web3/Blockchain (Seed), Investors in AgTech (Series A), Investors in AI (Series A), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in Health & Hospital Services (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in Web3/Blockchain (Series A), Investors in Diverse Investors (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
86,Rhian Saleh,LocalGlobe,https://signal.nfx.com/firms/localglobe,Partner,$1.1M,($200K - $2.0M),Investors in London,"Investors in Advertising (Seed), Investors in LegalTech (Seed), Investors in Advertising (Series A), Investors in LegalTech (Series A), Investors in London (Other Lists), Investors in London (Other Lists)"
87,Brad Jenkins,Seed Round Capital,https://signal.nfx.com/firms/seed-round-capital,Principal,$100K,($25K - $150K),Investors in United States,"Investors in AI (Pre-seed), Investors in Cybersecurity (Pre-seed), Investors in DeepTech (Pre-seed), Investors in Direct-to-Consumer (DTC) (Pre-seed), Investors in IoT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in MarketingTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Sales & CRM (Pre-seed), Investors in Security (Pre-seed), Investors in AI (Seed), Investors in Cybersecurity (Seed), Investors in DeepTech (Seed), Investors in Direct-to-Consumer (DTC) (Seed), Investors in IoT (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in SaaS (Seed), Investors in Sales & CRM (Seed), Investors in Security (Seed), Investors in Angel, Scout, and Solo-Capitalists (Other Lists), Investors in Austin (Other Lists), Investors in Investors who were founders (Other Lists)"
88,Andre Retterath,Earlybird Venture Capital,https://signal.nfx.com/firms/earlybird-venture-capital,Principal,$1.5M,($100K - $5.0M),Investors in Munich (Germany),"Investors in AI (Seed), Investors in Data Services (Seed), Investors in DeepTech (Seed), Investors in Developer Tools (Seed), Investors in Enterprise Applications (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Robotics (Seed), Investors in AI (Series A), Investors in Data Services (Series A), Investors in DeepTech (Series A), Investors in Developer Tools (Series A), Investors in Enterprise Applications (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Robotics (Series A)"
89,Julieta Moradei,Hometeam Ventures,https://signal.nfx.com/firms/hometeam-ventures,Partner,$500K,($500K - $1M),Investors in SF Bay Area (CA),"Investors in ConstructionTech (Pre-seed), Investors in FinTech (Pre-seed), Investors in Impact (Pre-seed), Investors in Insurance (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Smart Cities/UrbanTech (Pre-seed), Investors in Supply Chain Tech (Pre-seed), Investors in ConstructionTech (Seed), Investors in FinTech (Seed), Investors in Impact (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in Smart Cities/UrbanTech (Seed), Investors in Supply Chain Tech (Seed), Investors in ConstructionTech (Series A), Investors in FinTech (Series A), Investors in Impact (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in Smart Cities/UrbanTech (Series A), Investors in Supply Chain Tech (Series A), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in Investors who were founders (Other Lists)"
90,Sakib Jamal,Crossbeam Venture Partners,https://signal.nfx.com/firms/crossbeam-venture-partners,Vice President,$1.5M,($500K - $3.0M),Investors in New York City,"Investors in E-commerce (Pre-seed), Investors in Entertainment & Sports (Pre-seed), Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Media/Content (Pre-seed), Investors in E-commerce (Seed), Investors in Entertainment & Sports (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in E-commerce (Series A), Investors in Entertainment & Sports (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Media/Content (Series A), Investors in New York City (Other Lists), Investors in New York City (Other Lists)"
91,Jeff Diamond,Fika Ventures,https://signal.nfx.com/firms/fika-ventures,Investor,$2.5M,($1M - $5.0M),"Investors in Canada,","Investors in AI (Pre-seed), Investors in Digital Health (Pre-seed), Investors in Enterprise Applications (Pre-seed), Investors in Entertainment & Sports (Pre-seed), Investors in Future of Work (Pre-seed), Investors in Generative Tech/AI (Pre-seed), Investors in Health IT (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Manufacturing (Pre-seed), Investors in Media/Content (Pre-seed), Investors in AI (Seed), Investors in Digital Health (Seed), Investors in Enterprise Applications (Seed), Investors in Entertainment & Sports (Seed), Investors in Future of Work (Seed), Investors in Generative Tech/AI (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Manufacturing (Seed), Investors in Media/Content (Seed), Investors in Canada (Other Lists)"
92,Didier Vermeiren,Seedcamp,https://signal.nfx.com/firms/seedcamp,Investor,$1.5M,($100K - $5.0M),Investors in Singapore,"Investors in AR/VR (Pre-seed), Investors in E-commerce (Pre-seed), Investors in FinTech (Pre-seed), Investors in Hardware (Pre-seed), Investors in Human Capital/HRTech (Pre-seed), Investors in Insurance (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Real Estate/PropTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in Web3/Blockchain (Pre-seed), Investors in AR/VR (Seed), Investors in E-commerce (Seed), Investors in FinTech (Seed), Investors in Hardware (Seed), Investors in Human Capital/HRTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in SaaS (Seed), Investors in Web3/Blockchain (Seed), Investors in AR/VR (Series A), Investors in E-commerce (Series A), Investors in FinTech (Series A), Investors in Hardware (Series A), Investors in Human Capital/HRTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in SaaS (Series A), Investors in Web3/Blockchain (Series A)"
93,Hannah Konitshek,Polymath Capital Partners,https://signal.nfx.com/firms/polymath-capital-partners,Investor,$50K,($10K - $100K),"Investors in SF Bay Area (CA),","Investors in Enterprise (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Marketplaces (Pre-seed), Investors in Enterprise (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
94,Nina Rinke,Earlybird Venture Capital,https://signal.nfx.com/firms/earlybird-venture-capital,Investor,$1.5M,($100K - $5.0M),Investors in Berlin (Germany),"Investors in Consumer Internet (Seed), Investors in Digital Health (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Consumer Internet (Series A), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A)"
95,Mey Cezairli,Project A,https://signal.nfx.com/firms/project-a,Investor,$1.5M,($100K - $5.0M),"Investors in London,","Investors in AgTech (Seed), Investors in ClimateTech/CleanTech (Seed), Investors in Digital Health (Seed), Investors in E-commerce (Seed), Investors in Enterprise (Seed), Investors in Food and Beverage (Seed), Investors in Impact (Seed), Investors in LegalTech (Seed), Investors in Marketplaces (Seed), Investors in Travel (Seed), Investors in AgTech (Series A), Investors in ClimateTech/CleanTech (Series A), Investors in Digital Health (Series A), Investors in E-commerce (Series A), Investors in Enterprise (Series A), Investors in Food and Beverage (Series A), Investors in Impact (Series A), Investors in LegalTech (Series A), Investors in Marketplaces (Series A), Investors in Travel (Series A), Investors in London (Other Lists)"
96,Adriana Botelho,Mundi Ventures,https://signal.nfx.com/firms/mundi-ventures,Investor,$2.8M,($500K - $5.0M),"Investors in Madrid (Spain),","Investors in Consumer Internet (Seed), Investors in Education (Seed), Investors in Enterprise Applications (Seed), Investors in Enterprise Infrastructure (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Consumer Internet (Series A), Investors in Education (Series A), Investors in Enterprise Applications (Series A), Investors in Enterprise Infrastructure (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in London (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
97,Otto Bjerg Hausgaard,Vækstfonden,https://signal.nfx.com/firms/vaekstfonden,Investor,$1.5M,($100K - $5.0M),Investors in Denmark,"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A)"
98,Chris Orndorff,Vulcan Capital,https://signal.nfx.com/firms/vulcan-capital,Investor,$1.5M,($100K - $5.0M),Investors in Seattle (WA),"Investors in FinTech (Seed), Investors in Gaming/eSports (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in FinTech (Series A), Investors in Gaming/eSports (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in FinTech (Series B), Investors in Gaming/eSports (Series B), Investors in LegalTech (Series B), Investors in Real Estate/PropTech (Series B), Investors in Seattle / Portland (Other Lists), Investors in Seattle / Portland (Other Lists)"
99,Elizabeth Pullman,Pareto Holdings,https://signal.nfx.com/firms/pareto-holdings,Associate,$1.5M,($100K - $5.0M),Investors in Miami (FL),"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists)"
100,Kent Wakeford,Colossal Biosciences,https://signal.nfx.com/firms/colossal-biosciences,Investor,$1.5M,($100K - $5.0M),"Investors in SF Bay Area (CA),","Investors in Advertising (Seed), Investors in BioTech (Seed), Investors in Games (Seed), Investors in Gaming/eSports (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in Austin (Other Lists), Investors in Austin (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
101,Al Giles,Creator Fund,https://signal.nfx.com/firms/creator-fund,Investor,$2.5M,($100K - $5.0M),Investors in London,"Investors in AI (Pre-seed), Investors in Cloud Infrastructure (Pre-seed), Investors in Creator/Passion Economy (Pre-seed), Investors in Education (Pre-seed), Investors in FinTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in SaaS (Pre-seed), Investors in AI (Seed), Investors in Cloud Infrastructure (Seed), Investors in Creator/Passion Economy (Seed), Investors in Education (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in AI (Series A), Investors in Cloud Infrastructure (Series A), Investors in Creator/Passion Economy (Series A), Investors in Education (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in London (Other Lists), Investors in London (Other Lists)"
102,Ryan Whittemore,Florida Funders,https://signal.nfx.com/firms/florida-funders,Investor,$500K,($250K - $3.0M),Investors in Tampa (FL),"Investors in Digital Health (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Retail (Seed), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Retail (Series A), Investors in Raleigh-Durham / Southeast US (Other Lists), Investors in Raleigh-Durham / Southeast US (Other Lists)"
103,Stefan Backlund,Kuorrokveik Adventure Capital,https://signal.nfx.com/firms/kuorrokveik-adventure-capital,Investor,$1.5M,($100K - $5.0M),Investors in Stockholm (Sweden),"Investors in AgTech (Seed), Investors in ClimateTech/CleanTech (Seed), Investors in Enterprise Applications (Seed), Investors in Enterprise (Seed), Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in Media/Content (Seed), Investors in TransportationTech (Seed), Investors in AgTech (Series A), Investors in ClimateTech/CleanTech (Series A), Investors in Enterprise Applications (Series A), Investors in Enterprise (Series A), Investors in FinTech (Series A), Investors in LegalTech (Series A), Investors in Media/Content (Series A), Investors in TransportationTech (Series A)"
104,Laurin Class,Earlybird Venture Capital,https://signal.nfx.com/firms/earlybird-venture-capital,Investor,$1.5M,($100K - $5.0M),Investors in Munich (Germany),"Investors in AI (Seed), Investors in Developer Tools (Seed), Investors in Education (Seed), Investors in EnergyTech (Seed), Investors in IoT (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in TransportationTech (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in AI (Series A), Investors in Developer Tools (Series A), Investors in Education (Series A), Investors in EnergyTech (Series A), Investors in IoT (Series A), Investors in LegalTech (Series A), Investors in Logistics (Series A), Investors in TransportationTech (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A), Investors in AI (Series B), Investors in Developer Tools (Series B), Investors in Education (Series B), Investors in EnergyTech (Series B), Investors in IoT (Series B), Investors in LegalTech (Series B), Investors in Logistics (Series B), Investors in TransportationTech (Series B), Investors in Web3/Blockchain (Series B), Investors in Web3/Crypto (Series B)"
105,Marieke Gehres,Earlybird Venture Capital,https://signal.nfx.com/firms/earlybird-venture-capital,Investor,$1.5M,($100K - $5.0M),Investors in Germany,"Investors in AI (Seed), Investors in EnergyTech (Seed), Investors in FinTech (Seed), Investors in IoT (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in Media/Content (Seed), Investors in TransportationTech (Seed), Investors in Web3/Blockchain (Seed), Investors in Web3/Crypto (Seed), Investors in AI (Series A), Investors in EnergyTech (Series A), Investors in FinTech (Series A), Investors in IoT (Series A), Investors in LegalTech (Series A), Investors in Logistics (Series A), Investors in Media/Content (Series A), Investors in TransportationTech (Series A), Investors in Web3/Blockchain (Series A), Investors in Web3/Crypto (Series A)"
106,Melanie Galang,Day One Ventures,https://signal.nfx.com/firms/day-one-ventures,Investor,$1.5M,($500K - $5.0M),Investors in Los Angeles (CA),"Investors in Consumer Internet (Pre-seed), Investors in Fashion (Pre-seed), Investors in Human Capital/HRTech (Pre-seed), Investors in LegalTech (Pre-seed), Investors in Retail (Pre-seed), Investors in Consumer Internet (Seed), Investors in Fashion (Seed), Investors in Human Capital/HRTech (Seed), Investors in LegalTech (Seed), Investors in Retail (Seed), Investors in Consumer Internet (Series A), Investors in Fashion (Series A), Investors in Human Capital/HRTech (Series A), Investors in LegalTech (Series A), Investors in Retail (Series A), Investors in Los Angeles / Southern California (Other Lists), Investors in Los Angeles / Southern California (Other Lists)"
107,Gordon Crenshaw,Blue Heron Capital,https://signal.nfx.com/firms/blue-heron-capital,Investor,$5.0M,($2.0M - $8.0M),Investors in Richmond (VA),"Investors in Digital Health (Series A), Investors in Enterprise Applications (Series A), Investors in Enterprise Infrastructure (Series A), Investors in Future of Work (Series A), Investors in GovTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in Digital Health (Series B), Investors in Enterprise Applications (Series B), Investors in Enterprise Infrastructure (Series B), Investors in Future of Work (Series B), Investors in GovTech (Series B), Investors in Health & Hospital Services (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in SaaS (Series B), Investors in Washington, D.C. (Other Lists), Investors in Washington, D.C. (Other Lists)"
108,Gordon Daugherty,Capital Factory,https://signal.nfx.com/firms/capital-factory,Investor,$1.5M,($100K - $5.0M),Investors in Austin (TX),"Investors in ConstructionTech (Seed), Investors in Data Services (Seed), Investors in E-commerce (Seed), Investors in Education (Seed), Investors in EnergyTech (Seed), Investors in FinTech (Seed), Investors in Human Capital/HRTech (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Retail (Seed), Investors in ConstructionTech (Series A), Investors in Data Services (Series A), Investors in E-commerce (Series A), Investors in Education (Series A), Investors in EnergyTech (Series A), Investors in FinTech (Series A), Investors in Human Capital/HRTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Retail (Series A), Investors in ConstructionTech (Series B), Investors in Data Services (Series B), Investors in E-commerce (Series B), Investors in Education (Series B), Investors in EnergyTech (Series B), Investors in FinTech (Series B), Investors in Human Capital/HRTech (Series B), Investors in Insurance (Series B), Investors in LegalTech (Series B), Investors in Retail (Series B), Investors in Austin (Other Lists), Investors in Austin (Other Lists)"
109,Rita Georges,Unshackled Ventures,https://signal.nfx.com/firms/unshackled-ventures,Investor,$300K,($200K - $400K),Investors in United States,"Investors in Digital Health (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in SaaS (Seed), Investors in Travel (Seed), Investors in Digital Health (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in SaaS (Series A), Investors in Travel (Series A), Investors in Digital Health (Series B), Investors in Health & Hospital Services (Series B), Investors in Health IT (Series B), Investors in LegalTech (Series B), Investors in SaaS (Series B), Investors in Travel (Series B)"
110,Michael Serotte,Unshackled Ventures,https://signal.nfx.com/firms/unshackled-ventures,Investor,$300K,($200K - $400K),"Investors in Buffalo (NY),","Investors in LegalTech (Seed), Investors in LegalTech (Series A), Investors in LegalTech (Series B), Investors in New York City (Other Lists), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
111,Jason Freeman,FundersClub,https://signal.nfx.com/firms/funders-club,Investor,$1.5M,($100K - $5.0M),Investors in Washington (DC),"Investors in Advertising (Seed), Investors in Digital Health (Seed), Investors in FinTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Manufacturing (Seed), Investors in Material Science (Seed), Investors in Retail (Seed), Investors in TransportationTech (Seed), Investors in Advertising (Series A), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Manufacturing (Series A), Investors in Material Science (Series A), Investors in Retail (Series A), Investors in TransportationTech (Series A), Investors in Washington, D.C. (Other Lists), Investors in Washington, D.C. (Other Lists)"
112,Scott Rogers,FundersClub,https://signal.nfx.com/firms/funders-club,Investor,$1.5M,($100K - $5.0M),Investors in Brisbane (Australia),"Investors in AgTech (Seed), Investors in Digital Health (Seed), Investors in FinTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in Manufacturing (Seed), Investors in Real Estate/PropTech (Seed), Investors in Retail (Seed), Investors in AgTech (Series A), Investors in Digital Health (Series A), Investors in FinTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Logistics (Series A), Investors in Manufacturing (Series A), Investors in Real Estate/PropTech (Series A), Investors in Retail (Series A)"
113,Simon Saval,FundersClub,https://signal.nfx.com/firms/funders-club,Investor,$1.5M,($100K - $5.0M),Investors in Boston (MA),"Investors in Consumer Health (Seed), Investors in Digital Health (Seed), Investors in Direct-to-Consumer (DTC) (Seed), Investors in FinTech (Seed), Investors in Health & Hospital Services (Seed), Investors in Health IT (Seed), Investors in LegalTech (Seed), Investors in Logistics (Seed), Investors in Manufacturing (Seed), Investors in Wellness & Fitness (Seed), Investors in Consumer Health (Series A), Investors in Digital Health (Series A), Investors in Direct-to-Consumer (DTC) (Series A), Investors in FinTech (Series A), Investors in Health & Hospital Services (Series A), Investors in Health IT (Series A), Investors in LegalTech (Series A), Investors in Logistics (Series A), Investors in Manufacturing (Series A), Investors in Wellness & Fitness (Series A), Investors in Boston / New England (Other Lists), Investors in Boston / New England (Other Lists)"
114,Andrew Sommer,Partners Group,https://signal.nfx.com/firms/partners-group,Investor,$20.0M,($10.0M - $1.0B),"Investors in London,","Investors in Chemicals (Series B), Investors in Consumer Health (Series B), Investors in Future of Work (Series B), Investors in Gig Economy (Series B), Investors in Health & Hospital Services (Series B), Investors in Health IT (Series B), Investors in Human Capital/HRTech (Series B), Investors in Impact (Series B), Investors in LegalTech (Series B), Investors in Logistics (Series B), Investors in Colorado / Utah (Other Lists), Investors in Colorado / Utah (Other Lists), Investors in London (Other Lists), Investors in New York City (Other Lists), Investors in Investors who invested in diverse founders (Other Lists), Investors in Investors who invested in female founders (Other Lists)"
115,Serena Kondratiuk,Lightbank,https://signal.nfx.com/firms/lightbank,Investor,$1.5M,($100K - $5.0M),Investors in United States,"Investors in Games (Seed), Investors in LegalTech (Seed), Investors in MarketingTech (Seed), Investors in Security (Seed), Investors in Social Commerce (Seed), Investors in Social Networks (Seed), Investors in TransportationTech (Seed), Investors in Games (Series A), Investors in LegalTech (Series A), Investors in MarketingTech (Series A), Investors in Security (Series A), Investors in Social Commerce (Series A), Investors in Social Networks (Series A), Investors in TransportationTech (Series A)"
116,Brett Hagler,Hometeam Ventures,https://signal.nfx.com/firms/hometeam-ventures,Investor,$3.0M,($100K - $10.0M),Investors in SF Bay Area (CA),"Investors in ConstructionTech (Seed), Investors in FinTech (Seed), Investors in Impact (Seed), Investors in Insurance (Seed), Investors in LegalTech (Seed), Investors in Real Estate/PropTech (Seed), Investors in ConstructionTech (Series A), Investors in FinTech (Series A), Investors in Impact (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in Real Estate/PropTech (Series A), Investors in San Francisco Bay Area (Other Lists), Investors in San Francisco Bay Area (Other Lists)"
117,Paul Mussillon,Breega,https://signal.nfx.com/firms/breega,Investor,$10.8M,($685K - $21.0M),Investors in United Kingdom,"Investors in FinTech (Seed), Investors in LegalTech (Seed), Investors in FinTech (Series A), Investors in LegalTech (Series A)"
118,James Orchard,QBE Ventures,https://signal.nfx.com/firms/qbe-ventures,Investor,$6.0M,($2.0M - $10.0M),"Investors in United Kingdom,","Investors in AI (Series A), Investors in ConstructionTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in AI (Series B), Investors in ConstructionTech (Series B), Investors in Insurance (Series B), Investors in LegalTech (Series B)"
119,Mattias Hallersbo,QBE Ventures,https://signal.nfx.com/firms/qbe-ventures,Investor,$6.0M,($2.0M - $10.0M),"Investors in United Kingdom,","Investors in AI (Series A), Investors in ConstructionTech (Series A), Investors in Insurance (Series A), Investors in LegalTech (Series A), Investors in AI (Series B), Investors in ConstructionTech (Series B), Investors in Insurance (Series B), Investors in LegalTech (Series B)"
120,Aude Vandenbroucque,Leia Capital,https://signal.nfx.com/firms/leia-capital,Investor,$47K,($20K - $74K),Investors in Paris (France),"Investors in LegalTech (Seed), Investors in LegalTech (Series A), Investors in Angel, Scout, and Solo-Capitalists (Other Lists)"
